Date,Close,High,Low,Open,Price Change,SMA_3,SMA_5,SMA_10,Price Difference,Pct Price Change,RSI,MACD,MACD Signal,SlowK,SlowD,BB_upper,BB_middle,BB_lower,ATR,Next Day Close,Next Week Close,Close_GBP_USD,High_GBP_USD,Low_GBP_USD,Open_GBP_USD,Price Change_GBP_USD,SMA_3_GBP_USD,SMA_5_GBP_USD,SMA_10_GBP_USD,Price Difference_GBP_USD,Pct Price Change_GBP_USD,RSI_GBP_USD,MACD_GBP_USD,MACD Signal_GBP_USD,SlowK_GBP_USD,SlowD_GBP_USD,BB_upper_GBP_USD,BB_middle_GBP_USD,BB_lower_GBP_USD,ATR_GBP_USD,Next Day Close_GBP_USD,Next Week Close_GBP_USD,Close_USD_CAD,High_USD_CAD,Low_USD_CAD,Open_USD_CAD,Price Change_USD_CAD,SMA_3_USD_CAD,SMA_5_USD_CAD,SMA_10_USD_CAD,Price Difference_USD_CAD,Pct Price Change_USD_CAD,RSI_USD_CAD,MACD_USD_CAD,MACD Signal_USD_CAD,SlowK_USD_CAD,SlowD_USD_CAD,BB_upper_USD_CAD,BB_middle_USD_CAD,BB_lower_USD_CAD,ATR_USD_CAD,Next Day Close_USD_CAD,Next Week Close_USD_CAD,Close_USD_CNY,High_USD_CNY,Low_USD_CNY,Open_USD_CNY,Price Change_USD_CNY,SMA_3_USD_CNY,SMA_5_USD_CNY,SMA_10_USD_CNY,Price Difference_USD_CNY,Pct Price Change_USD_CNY,RSI_USD_CNY,MACD_USD_CNY,MACD Signal_USD_CNY,SlowK_USD_CNY,SlowD_USD_CNY,BB_upper_USD_CNY,BB_middle_USD_CNY,BB_lower_USD_CNY,ATR_USD_CNY,Next Day Close_USD_CNY,Next Week Close_USD_CNY,Close_USD_JPY,High_USD_JPY,Low_USD_JPY,Open_USD_JPY,Price Change_USD_JPY,SMA_3_USD_JPY,SMA_5_USD_JPY,SMA_10_USD_JPY,Price Difference_USD_JPY,Pct Price Change_USD_JPY,RSI_USD_JPY,MACD_USD_JPY,MACD Signal_USD_JPY,SlowK_USD_JPY,SlowD_USD_JPY,BB_upper_USD_JPY,BB_middle_USD_JPY,BB_lower_USD_JPY,ATR_USD_JPY,Next Day Close_USD_JPY,Next Week Close_USD_JPY,title,link
2014-01-28,1.367465257644653,1.368940353393555,1.3631796836853027,1.36759614944458,-0.0009708874841736,1.3683886925379436,1.3630608558654784,1.3611552834510805,0.0057606697082521,-0.1433773307424651,55.44138565065312,-0.0020351254222752,-0.0031331239335992,77.37177556695569,59.08190355674719,1.3764999330246737,1.3632955193519591,1.3500911056792446,0.0086828299931117,1.3655046224594116,1.3525028228759766,1.657495141029358,1.6621235609054563,1.6542870998382568,1.657522678375244,0.0051216534564455,1.6566742658615112,1.6547511339187622,1.6472850799560548,0.0078364610671994,-0.0298257841926508,60.47392769073832,0.0002382363432906,-0.0018005123530417,71.6358503306719,73.61245997399828,1.6626108923372889,1.6468136131763458,1.6310163340154027,0.0130805458341325,1.6570007801055908,1.6308956146240234,1.367465257644653,1.368940353393555,1.3631796836853027,1.36759614944458,-0.0009708874841736,1.3683886925379436,1.3630608558654784,1.3611552834510805,0.0057606697082521,-0.1433773307424651,55.44138565065312,-0.0020351254222752,-0.0031331239335992,77.37177556695569,59.08190355674719,1.3764999330246737,1.3632955193519591,1.3500911056792446,0.0086828299931117,1.3655046224594116,1.3525028228759766,6.038099765777588,6.10099983215332,6.038099765777588,6.038099765777588,-0.0001324964422177,6.039599895477295,6.040139865875244,6.039679908752442,0.0629000663757324,0.0463798999479815,55.44138565065312,-0.0008827560944135,-0.0008839309597298,10.866695453704274,12.03099404382484,6.047989959162603,6.040634965896606,6.033279972630609,0.049128668648856,6.040900230407715,6.051000118255615,102.66100311279295,103.24500274658205,102.53199768066406,102.66500091552734,0.0059872615655411,102.69366963704428,103.38780212402344,103.8447006225586,0.713005065917983,0.5552251366548526,35.89608258326622,-0.5224204188963739,-0.3468104509033005,22.20331503587613,40.87351487064566,105.92217191522994,104.22385025024414,102.52552858525834,1.059072222028463,103.2310028076172,101.14199829101562,,
2014-01-29,1.3655046224594116,1.36859929561615,1.3604499101638794,1.3654299974441528,-0.0014337733074246,1.3672546943028767,1.3649790287017822,1.3610208988189698,0.0081493854522705,0.0259544502453712,58.1274476397633,-0.0016989417213744,-0.0028462874911542,72.34582512200286,69.48742673053458,1.3750168030607732,1.3628460109233855,1.3506752187859978,0.0087084429604666,1.365859031677246,1.3515887260437012,1.6570007801055908,1.6605503559112549,1.6528924703598022,1.6568909883499146,-0.0002982578419264,1.654515067736308,1.6566457271575927,1.648643922805786,0.0076578855514526,-0.0662377436433133,57.75551590608893,0.0007861430978501,-0.0012831812628633,65.4897755819701,69.98866041818434,1.6627203050115091,1.6468438029289243,1.63096730084634,0.0129570790699549,1.6559032201766968,1.6330530643463137,1.3655046224594116,1.36859929561615,1.3604499101638794,1.3654299974441528,-0.0014337733074246,1.3672546943028767,1.3649790287017822,1.3610208988189698,0.0081493854522705,0.0259544502453712,58.1274476397633,-0.0016989417213744,-0.0028462874911542,72.34582512200286,69.48742673053458,1.3750168030607732,1.3628460109233855,1.3506752187859978,0.0087084429604666,1.365859031677246,1.3515887260437012,6.040900230407715,6.103000164031982,6.040900230407715,6.040900230407715,0.0004637989994797,6.039299964904785,6.040199947357178,6.040649938583374,0.0620999336242675,0.0777981236570233,58.1274476397633,-0.0007620976866418,-0.0008595643051122,10.478687311085066,11.197335142804269,6.047665058089032,6.040479969978333,6.033294881867634,0.0531144142150878,6.045599937438965,6.051000118255615,103.2310028076172,103.35900115966795,102.02999877929688,103.23200225830078,0.0055522513665484,102.64733632405598,103.1894027709961,103.7499008178711,1.3290023803710795,-0.9018606140971313,39.53821868799105,-0.5226739906435256,-0.3819831588513456,20.92848900343421,27.989916961472503,105.79460146853626,104.1204002380371,102.44619900753796,1.1305007934570332,102.3000030517578,101.68900299072266,,
2014-01-30,1.365859031677246,1.36621356010437,1.3560609817504885,1.3659149408340454,0.0002595445024538,1.3662763039271038,1.3673059463500976,1.3616134405136109,0.0101525783538813,-0.7308213826632602,55.37123269952131,-0.0013879168133044,-0.0025546133555842,68.00953835153443,72.57571301349766,1.372725164604825,1.3623054146766662,1.3518856647485074,0.0086123006684439,1.3558770418167114,1.3535096645355225,1.6559032201766968,1.656589150428772,1.6448991298675537,1.6558210849761963,-0.0006623774364331,1.6567997137705486,1.6565853595733642,1.6506163239479066,0.0116900205612182,-0.3662588333235066,55.18233082416283,0.0011189012377459,-0.0008027647627415,71.99293299808055,69.70618630357417,1.6623157780940934,1.6467353522777557,1.631154926461418,0.0128996627671377,1.6498383283615112,1.6327064037322998,1.365859031677246,1.36621356010437,1.3560609817504885,1.3659149408340454,0.0002595445024538,1.3662763039271038,1.3673059463500976,1.3616134405136109,0.0101525783538813,-0.7308213826632602,55.37123269952131,-0.0013879168133044,-0.0025546133555842,68.00953835153443,72.57571301349766,1.372725164604825,1.3623054146766662,1.3518856647485074,0.0086123006684439,1.3558770418167114,1.3535096645355225,6.045599937438965,6.051199913024902,6.045599937438965,6.045599937438965,0.0007779812365702,6.041533311208089,6.041059970855713,6.0416099548339846,0.0055999755859375,0.089324150994649,55.37123269952131,-0.0002839744679556,-0.0007444463376809,13.367877778463182,11.57108684775084,6.04794294874863,6.040559959411621,6.033176970074613,0.0529072284698486,6.051000118255615,6.051000118255615,102.3000030517578,102.77999877929688,102.08799743652344,102.23999786376952,-0.0090186061409712,102.73066965738931,102.72240295410155,103.52280120849608,0.6920013427734375,0.4477030004327192,35.335052731756264,-0.5911840460052389,-0.4238233362821242,23.82211195030061,22.317971996536983,105.72970186738095,103.96920051574708,102.20869916411318,1.1270010811941995,102.75800323486328,101.46600341796876,rupee best performer among emerging markets on currency stability hopes,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/rupee-best-performer-among-emerging-markets-on-currency-stability-hopes/articleshow/29576222.cms
2014-01-30,1.365859031677246,1.36621356010437,1.3560609817504885,1.3659149408340454,0.0002595445024538,1.3662763039271038,1.3673059463500976,1.3616134405136109,0.0101525783538813,-0.7308213826632602,55.37123269952131,-0.0013879168133044,-0.0025546133555842,68.00953835153443,72.57571301349766,1.372725164604825,1.3623054146766662,1.3518856647485074,0.0086123006684439,1.3558770418167114,1.3535096645355225,1.6559032201766968,1.656589150428772,1.6448991298675537,1.6558210849761963,-0.0006623774364331,1.6567997137705486,1.6565853595733642,1.6506163239479066,0.0116900205612182,-0.3662588333235066,55.18233082416283,0.0011189012377459,-0.0008027647627415,71.99293299808055,69.70618630357417,1.6623157780940934,1.6467353522777557,1.631154926461418,0.0128996627671377,1.6498383283615112,1.6327064037322998,1.365859031677246,1.36621356010437,1.3560609817504885,1.3659149408340454,0.0002595445024538,1.3662763039271038,1.3673059463500976,1.3616134405136109,0.0101525783538813,-0.7308213826632602,55.37123269952131,-0.0013879168133044,-0.0025546133555842,68.00953835153443,72.57571301349766,1.372725164604825,1.3623054146766662,1.3518856647485074,0.0086123006684439,1.3558770418167114,1.3535096645355225,6.045599937438965,6.051199913024902,6.045599937438965,6.045599937438965,0.0007779812365702,6.041533311208089,6.041059970855713,6.0416099548339846,0.0055999755859375,0.089324150994649,55.37123269952131,-0.0002839744679556,-0.0007444463376809,13.367877778463182,11.57108684775084,6.04794294874863,6.040559959411621,6.033176970074613,0.0529072284698486,6.051000118255615,6.051000118255615,102.3000030517578,102.77999877929688,102.08799743652344,102.23999786376952,-0.0090186061409712,102.73066965738931,102.72240295410155,103.52280120849608,0.6920013427734375,0.4477030004327192,35.335052731756264,-0.5911840460052389,-0.4238233362821242,23.82211195030061,22.317971996536983,105.72970186738095,103.96920051574708,102.20869916411318,1.1270010811941995,102.75800323486328,101.46600341796876,nia proves pakistan link six people convicted in fake currency case,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/politics-and-nation/nia-proves-pakistan-link-six-people-convicted-in-fake-currency-case/articleshow/29574960.cms
2014-01-31,1.3558770418167114,1.3562393188476562,1.3481086492538452,1.3558586835861206,-0.0073082138266326,1.3624135653177898,1.3647000312805175,1.3610207319259644,0.008130669593811,-0.5206383972598367,39.006904799983246,-0.0019247037053913,-0.0024286314255456,53.783703271344,64.71302224829377,1.372351622968155,1.3617661833763122,1.3511807437844694,0.0093255468777248,1.3488178253173828,1.3592127561569214,1.6498383283615112,1.649947166442871,1.643169403076172,1.6494300365447998,-0.003662588333235,1.6542474428812664,1.6538573503494265,1.6520705223083496,0.0067777633666989,-0.3665647459831023,50.24992666385484,0.0008830491371623,-0.0004656019827607,64.72799168428327,67.40356675477797,1.6625990198891332,1.6469877243041993,1.6313764287192654,0.0126887474741254,1.643790602684021,1.632200002670288,1.3558770418167114,1.3562393188476562,1.3481086492538452,1.3558586835861206,-0.0073082138266326,1.3624135653177898,1.3647000312805175,1.3610207319259644,0.008130669593811,-0.5206383972598367,39.006904799983246,-0.0019247037053913,-0.0024286314255456,53.783703271344,64.71302224829377,1.372351622968155,1.3617661833763122,1.3511807437844694,0.0093255468777248,1.3488178253173828,1.3592127561569214,6.051000118255615,6.058000087738037,6.051000118255615,6.051000118255615,0.0008932415099465,6.045833428700765,6.042899990081788,6.042129945755005,0.0069999694824218,0.0,39.006904799983246,0.0005246433265648,-0.0004906284048317,18.93076717455226,14.259110754700169,6.049811920695102,6.041074967384338,6.032338014073574,0.0492072446005685,6.051000118255615,6.051000118255615,102.75800323486328,102.90799713134766,102.01499938964844,102.72799682617188,0.004477030004327,102.76300303141277,102.6000030517578,103.3691017150879,0.8929977416992188,-0.5508105201267799,42.74049837051154,-0.6015872480379727,-0.459376118633294,25.27665399633602,23.34241831669028,105.65592559294538,103.86545066833496,102.07497574372454,1.0617152622767898,102.19200134277344,102.03900146484376,rbi to cut swap rates on foreign currency deposits from march 1,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/bonds/rbi-to-cut-swap-rates-on-foreign-currency-deposits-from-march-1/articleshow/29671446.cms
2014-02-03,1.3488178253173828,1.3519597053527832,1.3479305505752563,1.3488178253173828,-0.0052063839725983,1.35685129960378,1.3607047557830811,1.3606266140937806,0.0040291547775268,0.2732020210161927,34.409145184506656,-0.0028864576725808,-0.0025201966749527,33.410849250937936,51.73469695793879,1.373274329874902,1.361227035522461,1.34917974117002,0.0095481531960623,1.3525028228759766,1.361933946609497,1.643790602684021,1.643790602684021,1.6327064037322998,1.643790602684021,-0.003665647459831,1.6498440504074097,1.6528056144714356,1.652270221710205,0.0110841989517211,-0.7844665883198451,53.102188936716246,0.0002057618346584,-0.0003313292192768,52.19390369287046,62.97160945841142,1.662571759065789,1.647111827135086,1.631651895204383,0.0130195362227303,1.6308956146240234,1.6410391330718994,1.3488178253173828,1.3519597053527832,1.3479305505752563,1.3488178253173828,-0.0052063839725983,1.35685129960378,1.3607047557830811,1.3606266140937806,0.0040291547775268,0.2732020210161927,34.409145184506656,-0.0028864576725808,-0.0025201966749527,33.410849250937936,51.73469695793879,1.373274329874902,1.361227035522461,1.34917974117002,0.0095481531960623,1.3525028228759766,1.361933946609497,6.051000118255615,6.059999942779541,6.051000118255615,6.051000118255615,0.0,6.049200057983398,6.0453200340271,6.043199968338013,0.0089998245239257,0.0,34.409145184506656,0.0011521969453314,-0.0001620633347991,23.286040342976992,18.52822843199748,6.051352262128627,6.041549968719482,6.031747675310338,0.045450074332101,6.051000118255615,6.053400039672852,102.19200134277344,102.3939971923828,101.25599670410156,102.23799896240234,-0.0055081052012677,102.41666920979816,102.62840270996094,103.164501953125,1.1380004882812358,-1.0274806618532517,44.17845620214813,-0.6480333578538477,-0.4971075664774047,20.43703428836557,23.178600078334068,105.59677594519528,103.7294506072998,101.86212526940434,1.102787562779022,101.14199829101562,102.52400207519533,rbi to cut swap rates on foreign currency deposits from march 1,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/bonds/rbi-to-cut-swap-rates-on-foreign-currency-deposits-from-march-1/articleshow/29671446.cms
2014-02-04,1.3525028228759766,1.3540045022964478,1.3495640754699707,1.3522833585739136,0.0027320202101619,1.352399230003357,1.3577122688293457,1.360386562347412,0.004440426826477,-0.0675855766667935,38.40087441638112,-0.0033131145918008,-0.0026787802583223,17.31939141095323,34.83798131107839,1.3733074439314084,1.3606923520565033,1.3480772601815982,0.0092691353389195,1.3515887260437012,1.364610195159912,1.6308956146240234,1.6344943046569824,1.62598979473114,1.6311883926391602,-0.0078446658831984,1.6415081818898518,1.6474857091903687,1.6511184215545651,0.0085045099258425,0.132286193116512,42.703526834854735,-0.0013558812457037,-0.0005362396245622,33.069765039517414,49.997220138890384,1.6635129028253652,1.646566927433014,1.6296209520406626,0.0134724463735307,1.6330530643463137,1.6408774852752686,1.3525028228759766,1.3540045022964478,1.3495640754699707,1.3522833585739136,0.0027320202101619,1.352399230003357,1.3577122688293457,1.360386562347412,0.004440426826477,-0.0675855766667935,38.40087441638112,-0.0033131145918008,-0.0026787802583223,17.31939141095323,34.83798131107839,1.3733074439314084,1.3606923520565033,1.3480772601815982,0.0092691353389195,1.3515887260437012,1.364610195159912,6.051000118255615,6.105000019073486,6.051000118255615,6.051000118255615,0.0,6.051000118255615,6.047900104522705,6.044019985198974,0.053999900817871,0.0,38.40087441638112,0.0016307395589469,0.00019649724395,23.97315851008897,22.063322009206075,6.052636559280404,6.041964983940124,6.031293408599844,0.0486786365509033,6.051000118255615,6.0493998527526855,101.14199829101562,101.56700134277344,100.78399658203124,101.15699768066406,-0.0102748066185325,102.03066762288412,102.32460174560546,102.85620193481444,0.7830047607422017,0.5408284480727145,30.834273806818477,-0.7607986918058884,-0.5498457915431014,19.989190064885783,21.90095944986246,105.75519307474416,103.57605056762696,101.39690806050972,1.098930358886724,101.68900299072266,102.13300323486328,rbi to cut swap rates on foreign currency deposits from march 1,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/bonds/rbi-to-cut-swap-rates-on-foreign-currency-deposits-from-march-1/articleshow/29671446.cms
2014-02-05,1.3515887260437012,1.3553000688552856,1.3500396013259888,1.3516618013381958,-0.0006758557666679,1.3509697914123535,1.3549290895462036,1.359954059123993,0.0052604675292968,0.1421244831957246,42.52766818670908,-0.0036825530696413,-0.0028795348205861,11.888884743802585,20.87304180189792,1.373431425636307,1.360189926624298,1.3469484276122892,0.0090704560279846,1.3535096645355225,1.363902926445007,1.6330530643463137,1.6343073844909668,1.6259105205535889,1.6331062316894531,0.0013228619311651,1.635913093884786,1.642696166038513,1.649670946598053,0.0083968639373779,-0.0212277617661283,48.06303125563216,-0.0023918348921216,-0.0009073586780741,21.522889359350387,35.59551936391275,1.663997101808152,1.6462187588214874,1.628440415834823,0.0132789526666913,1.6327064037322998,1.6448721885681152,1.3515887260437012,1.3553000688552856,1.3500396013259888,1.3516618013381958,-0.0006758557666679,1.3509697914123535,1.3549290895462036,1.359954059123993,0.0052604675292968,0.1421244831957246,42.52766818670908,-0.0036825530696413,-0.0028795348205861,11.888884743802585,20.87304180189792,1.373431425636307,1.360189926624298,1.3469484276122892,0.0090704560279846,1.3535096645355225,1.363902926445007,6.051000118255615,6.060500144958496,6.051000118255615,6.051000118255615,0.0,6.051000118255615,6.049920082092285,6.045060014724731,0.0095000267028808,0.0,42.52766818670908,0.0019870821814791,0.0005546142314558,22.036592859195107,23.09859723742036,6.053853861813185,6.042454981803894,6.031056101794603,0.0444071974073137,6.051000118255615,6.050600051879883,101.68900299072266,101.6719970703125,100.8209991455078,101.66999816894533,0.005408284480727,101.67433420817058,102.01620178222656,102.60280227661131,0.8509979248047017,-0.219295662456477,32.16147321356924,-0.7968418270702529,-0.5992449986485318,18.89403704418868,19.773420465813345,105.68995766152054,103.42490081787108,101.15984397422164,1.1048589433942584,101.46600341796876,102.5199966430664,spotting the real deal how to distinguish between genuine and fake rupee currency,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/spotting-the-real-deal-how-to-distinguish-between-genuine-and-fake-rupee-currency/articleshow/29872965.cms
2014-02-06,1.3535096645355225,1.3620080947875977,1.3491089344024658,1.3534914255142212,0.0014212448319572,1.3525337378184,1.3524592161178588,1.3598825812339783,0.0128991603851318,0.4213558108102633,42.57952225855355,-0.0037767954951584,-0.0030589869555006,18.00672125745339,15.7383324707364,1.3735223068644795,1.3600053131580352,1.3464883194515906,0.0095341375895909,1.3592127561569214,1.3590095043182373,1.6327064037322998,1.633800029754639,1.6274452209472656,1.6328130960464478,-0.0002122776176612,1.632218360900879,1.6380568027496338,1.6473210811614991,0.0063548088073732,-0.0310160516829055,48.38453027500015,-0.0032038759473604,-0.0013666621319314,15.430503162326298,23.341052520398037,1.6643938950353108,1.645618587732315,1.6268432804293194,0.0127260599817548,1.632200002670288,1.6609915494918823,1.3535096645355225,1.3620080947875977,1.3491089344024658,1.3534914255142212,0.0014212448319572,1.3525337378184,1.3524592161178588,1.3598825812339783,0.0128991603851318,0.4213558108102633,42.57952225855355,-0.0037767954951584,-0.0030589869555006,18.00672125745339,15.7383324707364,1.3735223068644795,1.3600053131580352,1.3464883194515906,0.0095341375895909,1.3592127561569214,1.3590095043182373,6.051000118255615,6.058499813079834,6.051000118255615,6.051000118255615,0.0,6.051000118255615,6.051000118255615,6.046030044555664,0.0074996948242187,0.0,42.57952225855355,0.0022436231856683,0.0008924160222983,20.10002720830124,22.03659285919511,6.05494147802847,6.04293999671936,6.03093851541025,0.0401928765433175,6.051000118255615,6.0524001121521,101.46600341796876,101.9800033569336,101.2480010986328,101.46199798583984,-0.0021929566245647,101.43233489990234,101.84940185546876,102.28590240478516,0.7320022583007955,0.564719243463892,32.373884588545806,-0.8337890718751737,-0.6461538132938602,16.016538881159804,18.29992199674476,105.57855302494376,103.25600090026856,100.93344877559336,1.1306446620396298,102.03900146484376,102.46900177001952,spotting the real deal how to distinguish between genuine and fake rupee currency,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/spotting-the-real-deal-how-to-distinguish-between-genuine-and-fake-rupee-currency/articleshow/29872965.cms
2014-02-07,1.3592127561569214,1.3642098903656006,1.3555792570114136,1.358972668647766,0.0042135581081026,1.3547703822453816,1.3531263589859008,1.3589131951332092,0.008630633354187,0.2002034221831215,56.14093594315738,-0.0033526442690541,-0.0031177184182113,26.75601400210156,18.883873334452517,1.3734475429369994,1.359930408000946,1.3464132730648926,0.0095218164580208,1.361933946609497,1.3678767681121826,1.632200002670288,1.6400164365768433,1.6318538188934326,1.6321732997894287,-0.000310160516829,1.6326531569163003,1.634529137611389,1.6441932439804077,0.0081626176834106,0.5415470155097698,43.53266975365693,-0.003843975708436,-0.0018621248472323,16.555101881527843,17.836164801068175,1.6644983489734295,1.6448331892490389,1.6251680295246476,0.0125980632645743,1.6410391330718994,1.6657227277755735,1.3592127561569214,1.3642098903656006,1.3555792570114136,1.358972668647766,0.0042135581081026,1.3547703822453816,1.3531263589859008,1.3589131951332092,0.008630633354187,0.2002034221831215,56.14093594315738,-0.0033526442690541,-0.0031177184182113,26.75601400210156,18.883873334452517,1.3734475429369994,1.359930408000946,1.3464132730648926,0.0095218164580208,1.361933946609497,1.3678767681121826,6.051000118255615,6.060500144958496,6.051000118255615,6.051000118255615,0.0,6.051000118255615,6.051000118255615,6.046950054168701,0.0095000267028808,0.0396615661929317,56.14093594315738,0.0024190484945263,0.0011977425167439,19.805009111102244,20.64720972619953,6.055747600596992,6.043239998817444,6.030732397037895,0.0404785701206752,6.053400039672852,6.053599834442139,102.03900146484376,102.52799987792967,101.54499816894533,102.02999877929688,0.0056471924346388,101.73133595784503,101.70560150146484,102.15280227661133,0.9830017089843466,0.4753090518223694,37.12682684122304,-0.8075252277764662,-0.6784280961903815,23.512974429864094,19.474516785070858,105.37531898741108,103.116450881958,100.85758277650493,1.175858633858823,102.52400207519533,102.18800354003906,indias forex reserves lower at 291 07 bn as of january 31 rbi,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/indias-forex-reserves-lower-at-291-07-bn-as-of-january-31-rbi/articleshow/30001082.cms
