date,title,link
2017-01-04,"Bitcoin Price Soars, Fueled by Speculation and Global Currency Turmoil",https://www.nytimes.com/2017/01/03/business/dealbook/bitcoin-price-soars-fueled-by-speculation-and-global-currency-turmoil.html?ref=todayspaper
2017-01-05,Former Barclays Trader Pleads Guilty in Currency Manipulation Conspiracy,https://www.nytimes.com/2017/01/04/business/barclays-trader-currency-manipulation-conspiracy.html?ref=todayspaper
2017-01-06,"China, Seeking to Stop Weakening of Currency, Issues Restrictions",https://www.nytimes.com/2017/01/05/business/dealbook/china-currency-renminbi-yuan.html?ref=todayspaper
2017-01-09,Editorial: The Cost of India’s Man-Made Currency Crisis,https://www.nytimes.com/2017/01/09/opinion/the-cost-of-indias-man-made-currency-crisis.html?ref=todayspaper
2017-03-02,"For China’s Factories, a Weaker Currency Is a Double-Edged Sword",https://www.nytimes.com/2017/03/01/business/china-dollar-yuan-renminbi.html?ref=todayspaper
2017-03-26,Strategies: The New Currency Champ Lives South of the Border,https://www.nytimes.com/2017/03/25/your-money/peso-emerging-markets-donald-trump.html?ref=todayspaper
2017-04-12,"Economic Scene: Trump Isn’t Wrong on China Currency Manipulation, Just Late",https://www.nytimes.com/2017/04/11/business/economy/trump-china-currency-manipulation-trade.html?ref=todayspaper
2017-04-15,"Treasury Says China Isn’t a Currency Meddler, After Trump Reversal",https://www.nytimes.com/2017/04/14/business/china-currency-manipulation-trump.html?ref=todayspaper
2017-05-16,"All About Bitcoin, the Mysterious Digital Currency",https://www.nytimes.com/2017/05/15/business/all-about-bitcoin-the-mysterious-digital-currency.html?ref=todayspaper
2017-05-27,"China Moves to Stabilize Currency, Despite Promise to Loosen Control",https://www.nytimes.com/2017/05/26/business/dealbook/china-currency.html?ref=todayspaper
2017-06-14,Ex-Traders in Britain to Face Currency-Rigging Charges in U.S.,https://www.nytimes.com/2017/06/13/business/dealbook/currency-usd-trader-britain-exchange.html?ref=todayspaper
2017-06-20,"Move Over, Bitcoin. Ether Is the Digital Currency of the Moment.",https://www.nytimes.com/2017/06/19/business/dealbook/ethereum-bitcoin-digital-currency.html?ref=todayspaper
2017-06-20,"Move Over, Bitcoin. Ether Is the Digital Currency of the Moment.",https://www.nytimes.com/2017/06/19/business/dealbook/ethereum-bitcoin-digital-currency.html?ref=todayspaper
2017-07-01,"After Killing Currency, Modi Takes a Leap With India’s Biggest-Ever Tax Overhaul",https://www.nytimes.com/2017/06/30/world/asia/india-tax-narendra-modi.html?ref=todayspaper
2017-07-26,Some Bitcoin Backers Are Defecting to Create a Rival Currency,https://www.nytimes.com/2017/07/25/business/dealbook/bitcoin-cash-split.html?ref=todayspaper
2017-07-26,Some Bitcoin Backers Are Defecting to Create a Rival Currency,https://www.nytimes.com/2017/07/25/business/dealbook/bitcoin-cash-split.html?ref=todayspaper
2017-08-13,Future Tense: Grandpa Had a Pension. This Generation Has Cryptocurrency.,https://www.nytimes.com/2017/08/03/style/what-is-cryptocurrency.html?ref=todayspaper
2017-08-22,Identity Thieves Hijack Cellphone Accounts to Go After Virtual Currency,https://www.nytimes.com/2017/08/21/business/dealbook/phone-hack-bitcoin-virtual-currency.html?ref=todayspaper
2017-09-03,"In Venezuela, Cooking With Firewood as Currency Collapses",https://www.nytimes.com/2017/09/02/world/americas/venezuela-nicholas-maduro-inflation-economic-collapse.html?ref=todayspaper
2017-09-03,"In Venezuela, Cooking With Firewood as Currency Collapses",https://www.nytimes.com/2017/09/02/world/americas/venezuela-nicholas-maduro-inflation-economic-collapse.html?ref=todayspaper
2017-09-12,China’s Currency Rebounds as Economic Optimism Returns,https://www.nytimes.com/2017/09/11/business/china-currency-renminbi.html?ref=todayspaper
2017-09-12,China’s Currency Rebounds as Economic Optimism Returns,https://www.nytimes.com/2017/09/11/business/china-currency-renminbi.html?ref=todayspaper
2017-09-16,The Shift: Is There a Cryptocurrency Bubble? Just Ask Doge.,https://www.nytimes.com/2017/09/15/business/cryptocurrency-bubble-doge.html?ref=todayspaper
2017-12-04,"In South Korea, the Virtual Currency Boom Hits Home",https://www.nytimes.com/2017/12/03/technology/virtual-currency-south-korea.html?ref=todayspaper
2017-12-04,"In South Korea, the Virtual Currency Boom Hits Home",https://www.nytimes.com/2017/12/03/technology/virtual-currency-south-korea.html?ref=todayspaper
2017-12-25,Bits: Farhad and Mike’s Week in Tech: Cuckoo for Cryptocurrency,https://www.nytimes.com/2017/12/22/technology/farhad-mike-cryptocurrency-uber.html?ref=todayspaper
