date,title,link
2014-02-20,punters book losses in currency derivatives against business losses to save taxes,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/wealth/personal-finance-news/punters-book-losses-in-currency-derivatives-against-business-losses-to-save-taxes/articleshow/30693056.cms
2014-02-21,forex reserves rise 1 46 billion to 293 79 billion,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-rise-1-46-billion-to-293-79-billion/articleshow/30797981.cms
2014-02-22,madras high court notice to rbi on plea against recall of old currency notes,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/policy/madras-high-court-notice-to-rbi-on-plea-against-recall-of-old-currency-notes/articleshow/30866819.cms
2014-02-26,china lifts foreign currency deposit rates cap at shanghai ftz,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/international/business/china-lifts-foreign-currency-deposit-rates-cap-at-shanghai-ftz/articleshow/31047045.cms
2014-02-27,ems hold currency reserves to counter capital volatility eswar prasad cornell university,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/opinion/interviews/ems-hold-currency-reserves-to-counter-capital-volatility-eswar-prasad-cornell-university/articleshow/31104657.cms
2014-03-02,indian bank revises interest rates on foreign currency,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/industry/banking/finance/banking/indian-bank-revises-interest-rates-on-foreign-currency/articleshow/31273706.cms
2014-03-04,ukraine crisis will not affect indian currency rupee will remain range bound arvind mayaram,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/ukraine-crisis-will-not-affect-indian-currency-rupee-will-remain-range-bound-arvind-mayaram/articleshow/31408233.cms
2014-03-07,forex reserves rise 954 6 million to 294 3 billion rbi,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-rise-954-6-million-to-294-3-billion-rbi/articleshow/31611185.cms
2014-03-07,forex futures may have longer trading hours to allow traders to align positions with us markets,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/forex-futures-may-have-longer-trading-hours-to-allow-traders-to-align-positions-with-us-markets/articleshow/31565946.cms
2014-03-09,increase in pakistan printed fake currency notes smuggling to india,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/politics-and-nation/increase-in-pakistan-printed-fake-currency-notes-smuggling-to-india/articleshow/31714413.cms
2014-03-10,rbi sells 1 92 billion in spot forex market in january first time after raghuram rajan takes over,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/rbi-sells-1-92-billion-in-spot-forex-market-in-january-first-time-after-raghuram-rajan-takes-over/articleshow/31796409.cms
2014-03-12,rapid currency trades may kill arbitrage,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/rapid-currency-trades-may-kill-arbitrage/articleshow/31861697.cms
2014-03-14,forex reserves jump from 1 09 billion to 295 45 billion,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-jump-from-1-09-billion-to-295-45-billion/articleshow/32020449.cms
