date,title,link
2015-01-10,Op-Ed Contributor: How to Stop Currency Manipulation,https://www.nytimes.com/2015/01/10/opinion/jared-bernstein-how-to-stop-currency-manipulation.html?ref=todayspaper
2015-01-24,Venezuelan Currency Problems Dent Ford’s Earnings,https://www.nytimes.com/2015/01/24/business/venezuelan-currency-problems-dent-fords-earnings.html?ref=todayspaper
2015-01-29,"In Singapore, Central Bank Eases Currency Policy",https://www.nytimes.com/2015/01/29/business/international/in-singapore-central-bank-eases-currency-policy.html?ref=todayspaper
2015-02-05,Toyota Profit Gets Lift From U.S. Market and Favorable Exchange Rates,https://www.nytimes.com/2015/02/05/business/toyota-profit-gets-lift-from-favorable-exchange-rates.html?ref=todayspaper
2015-02-10,U.S. Is Seeking Felony Pleas by Big Banks in Foreign Currency Inquiry,http://dealbook.nytimes.com/2015/02/09/u-s-is-seeking-felony-pleas-by-big-banks-in-foreign-currency-inquiry/?ref=todayspaper
2015-02-11,Venezuela Announces Plan to Relax Currency Controls,https://www.nytimes.com/2015/02/11/world/americas/venezuela-sets-up-new-free-market-exchange-for-dollars.html?ref=todayspaper
2015-02-12,Currency Swings Help Push Down PepsiCo Earnings by 24%,https://www.nytimes.com/2015/02/12/business/pepsi-q4-earnings-fall.html?ref=todayspaper
2015-02-13,"DealBook: Credit Suisse Swings to Profit, but Braces for Currency and Legal Expenses",http://dealbook.nytimes.com/2015/02/12/credit-suisse-profit-q4/?ref=todayspaper
2015-02-16,Currency Battle Is Tethered to Obama Trade Agenda,https://www.nytimes.com/2015/02/16/business/economy/obamas-trade-agenda-may-hinge-on-attacking-currency-manipulation.html?ref=todayspaper
2015-02-21,Currency’s Weakness Troubles China’s Policy Makers,https://www.nytimes.com/2015/02/21/business/dealbook/currencys-weakness-troubles-chinas-policy-makers.html?ref=todayspaper
2015-03-04,Bank of England’s Chief Currency Dealer Fired for Rule Breaches,https://www.nytimes.com/2015/03/04/business/dealbook/bank-of-englands-chief-currency-dealer-fired-for-rule-breaches.html?ref=todayspaper
2015-03-07,Op-Ed Contributors: Venezuela’s Currency Circus,https://www.nytimes.com/2015/03/07/opinion/francisco-toro-dorothy-kronick-venezuelas-currency-circus.html?ref=todayspaper
2015-03-20,Bank of New York Mellon Will Settle Currency Trade Case for $714 Million,https://www.nytimes.com/2015/03/20/business/dealbook/bank-of-new-york-mellon-to-pay-714-million-in-foreign-exchange-settlement.html?ref=todayspaper
2015-03-22,Sunday Book Review: ‘The Age of Cryptocurrency’,https://www.nytimes.com/2015/03/22/books/review/the-age-of-cryptocurrency-by-paul-vigna-and-michael-j-casey.html?ref=todayspaper
2015-04-26,Frugal Traveler: Seeking the Elusive Fee-Free Exchange Rate,https://www.nytimes.com/2015/04/26/travel/seeking-the-elusive-fee-free-exchange-rate.html?ref=todayspaper
2015-05-12,Fight Over China Currency Policies Threatens Vote on Trade Bill,https://www.nytimes.com/2015/05/12/business/fight-over-china-currency-policies-threatens-vote-on-trade-bill.html?ref=todayspaper
2015-05-12,Fight Over China Currency Policies Threatens Vote on Trade Bill,https://www.nytimes.com/2015/05/12/business/fight-over-china-currency-policies-threatens-vote-on-trade-bill.html?ref=todayspaper
2015-05-20,Debate Over Currency Cheating Intensifies in Trade Talks,https://www.nytimes.com/2015/05/20/business/debate-intensifies-over-need-to-address-currency-manipulation-in-trade-pacts.html?ref=todayspaper
